,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,72,17455,2925,6197,0.472,796,2248,0.354,2129,3949,0.539,1241,1679,0.739,695,2490,3185,1775,562,386,1095,1377,7887
Team/G,,242.4,40.6,86.1,0.472,11.1,31.2,0.354,29.6,54.8,0.539,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5
Lg Rank,,4,21,27,12,25,24,21,12,12,13,11,6,28,17,15,16,15,11,5,28,16,22
Year/Year,,0.70%,-4.00%,-2.50%,-0.007,0.40%,-1.10%,0.005,-5.60%,-3.30%,-0.013,-2.90%,-4.20%,0.01,-9.50%,-1.40%,-3.30%,-2.90%,-9.40%,-18.70%,0.30%,-7.70%,-3.40%
Opponent,72,17455,2862,6221,0.46,818,2321,0.352,2044,3900,0.524,1144,1475,0.776,634,2392,3026,1776,593,327,1095,1530,7686
Opponent/G,,242.4,39.8,86.4,0.46,11.4,32.2,0.352,28.4,54.2,0.524,15.9,20.5,0.776,8.8,33.2,42,24.7,8.2,4.5,15.2,21.3,106.8
Lg Rank,,4,5,6,8,3,4,4,13,16,9,9,8,12,2,9,4,13,26,8,4,3,2
Year/Year,,0.70%,1.80%,-0.80%,0.012,-2.50%,-3.50%,0.004,3.60%,0.80%,0.014,-11.20%,-10.50%,-0.005,-6.40%,1.10%,-0.60%,5.40%,0.00%,22.60%,-4.40%,-2.30%,-0.80%
