No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
37,Kostas Antetokounmpo,PF,10-Jun,200,20-Nov-97,gr GR,2,Dayton
12,Devontae Cacok,PF,07-Jun,240,08-Oct-96,us US,1,UNC Wilmington
1,Kentavious Caldwell-Pope,SG,05-Jun,204,18-Feb-93,us US,7,Georgia
4,Alex Caruso,PG,05-Jun,186,28-Feb-94,us US,3,Texas A&M
2,Quinn Cook,PG,01-Jun,180,23-Mar-93,us US,4,Duke
3,Anthony Davis,PF,10-Jun,253,11-Mar-93,us US,8,Kentucky
2,Andre Drummond,C,11-Jun,279,10-Aug-93,us US,8,UConn
10,Jared Dudley,PF,06-Jun,237,10-Jul-85,us US,13,Boston College
14,Marc Gasol,C,11-Jun,255,29-Jan-85,es ES,12,
15,Montrezl Harrell,C,07-Jun,240,26-Jan-94,us US,5,Louisville
5,Talen Horton-Tucker,SG,04-Jun,234,25-Nov-00,us US,1,Iowa State
23,LeBron James,PG,09-Jun,250,30-Dec-84,us US,17,
30,Damian Jones,C,11-Jun,245,30-Jun-95,us US,4,Vanderbilt
0,Kyle Kuzma,SF,09-Jun,221,24-Jul-95,us US,3,Utah
9,Wesley Matthews,SG,05-Jun,220,14-Oct-86,us US,11,Marquette
28,Alfonzo McKinnie,SF,07-Jun,215,17-Sep-92,us US,3,Green Bay
7,Ben McLemore,SG,03-Jun,195,11-Feb-93,us US,7,Kansas
88,Markieff Morris,PF,09-Jun,245,02-Sep-89,us US,9,Kansas
17,Dennis Schröder,SG,01-Jun,172,15-Sep-93,de DE,7,
