,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19855,3580,7177,0.499,969,2572,0.377,2611,4605,0.567,1550,1983,0.782,676,2859,3535,2340,605,453,1146,1283,9679
Team/G,,242.1,43.7,87.5,0.499,11.8,31.4,0.377,31.8,56.2,0.567,18.9,24.2,0.782,8.2,34.9,43.1,28.5,7.4,5.5,14,15.6,118
Lg Rank,,3,6,22,2,24,28,8,3,7,6,2,2,15,30,2,18,5,19,11,19,1,6
Year/Year,,-0.10%,1.80%,-1.70%,0.017,9.50%,0.50%,0.031,-0.80%,-2.80%,0.012,-8.30%,-9.10%,0.007,-17.40%,-2.40%,-5.70%,12.90%,15.00%,19.80%,-0.70%,-12.50%,0.70%
Opponent,82,19855,3643,7687,0.474,1170,3109,0.376,2473,4578,0.54,1174,1476,0.795,893,2719,3612,2316,673,390,1100,1619,9630
Opponent/G,,242.1,44.4,93.7,0.474,14.3,37.9,0.376,30.2,55.8,0.54,14.3,18,0.795,10.9,33.2,44,28.2,8.2,4.8,13.4,19.7,117.4
Lg Rank,,3,24,30,17,28,28,25,22,24,12,2,2,25,19,14,19,26,25,11,19,4,23
Year/Year,,-0.10%,1.00%,-0.10%,0.005,13.80%,3.90%,0.033,-4.10%,-2.70%,-0.008,-11.00%,-13.50%,0.022,-1.70%,-1.80%,-1.80%,10.10%,7.90%,-6.20%,6.30%,-8.00%,0.70%
