G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Thu, Oct 18, 2018",10:30p,,Box Score,@,Portland Trail Blazers,L,,119,128,0,1,L 1,"19,996",2:28,
2,"Sat, Oct 20, 2018",10:30p,,Box Score,,Houston Rockets,L,,115,124,0,2,L 2,"18,997",2:27,
3,"Mon, Oct 22, 2018",10:30p,,Box Score,,San Antonio Spurs,L,OT,142,143,0,3,L 3,"18,997",2:38,
4,"Wed, Oct 24, 2018",10:00p,,Box Score,@,Phoenix Suns,W,,131,113,1,3,W 1,"18,055",2:03,
5,"Thu, Oct 25, 2018",10:30p,,Box Score,,Denver Nuggets,W,,121,114,2,3,W 2,"18,997",2:21,
6,"Sat, Oct 27, 2018",8:30p,,Box Score,@,San Antonio Spurs,L,,106,110,2,4,L 1,"18,589",2:15,
7,"Mon, Oct 29, 2018",8:00p,,Box Score,@,Minnesota Timberwolves,L,,120,124,2,5,L 2,"18,978",2:19,
8,"Wed, Oct 31, 2018",10:30p,,Box Score,,Dallas Mavericks,W,,114,113,3,5,W 1,"18,997",2:20,
9,"Sat, Nov 3, 2018",10:00p,,Box Score,@,Portland Trail Blazers,W,,114,110,4,5,W 2,"19,848",2:23,
10,"Sun, Nov 4, 2018",9:30p,,Box Score,,Toronto Raptors,L,,107,121,4,6,L 1,"18,997",2:09,
11,"Wed, Nov 7, 2018",10:30p,,Box Score,,Minnesota Timberwolves,W,,114,110,5,6,W 1,"18,997",2:11,
12,"Sat, Nov 10, 2018",10:00p,,Box Score,@,Sacramento Kings,W,,101,86,6,6,W 2,"17,583",2:09,
13,"Sun, Nov 11, 2018",9:30p,,Box Score,,Atlanta Hawks,W,,107,106,7,6,W 3,"18,997",2:15,
14,"Wed, Nov 14, 2018",10:30p,,Box Score,,Portland Trail Blazers,W,,126,117,8,6,W 4,"18,997",2:20,
15,"Sat, Nov 17, 2018",7:00p,,Box Score,@,Orlando Magic,L,,117,130,8,7,L 1,"19,249",2:10,
16,"Sun, Nov 18, 2018",6:00p,,Box Score,@,Miami Heat,W,,113,97,9,7,W 1,"19,686",2:14,
17,"Wed, Nov 21, 2018",8:00p,,Box Score,@,Cleveland Cavaliers,W,,109,105,10,7,W 2,"19,432",2:23,
18,"Fri, Nov 23, 2018",10:30p,,Box Score,,Utah Jazz,W,,90,83,11,7,W 3,"18,997",2:11,
19,"Sun, Nov 25, 2018",3:30p,,Box Score,,Orlando Magic,L,,104,108,11,8,L 1,"18,997",2:10,
20,"Tue, Nov 27, 2018",9:00p,,Box Score,@,Denver Nuggets,L,,85,117,11,9,L 2,"19,583",1:58,
21,"Thu, Nov 29, 2018",10:30p,,Box Score,,Indiana Pacers,W,,104,96,12,9,W 1,"18,997",2:19,
22,"Fri, Nov 30, 2018",10:30p,,Box Score,,Dallas Mavericks,W,,114,103,13,9,W 2,"18,997",2:23,
23,"Sun, Dec 2, 2018",3:30p,,Box Score,,Phoenix Suns,W,,120,96,14,9,W 3,"18,997",2:08,
24,"Wed, Dec 5, 2018",10:30p,,Box Score,,San Antonio Spurs,W,,121,113,15,9,W 4,"18,997",2:25,
25,"Fri, Dec 7, 2018",8:30p,,Box Score,@,San Antonio Spurs,L,,120,133,15,10,L 1,"18,354",2:13,
26,"Sat, Dec 8, 2018",8:00p,,Box Score,@,Memphis Grizzlies,W,,111,88,16,10,W 1,"17,794",2:05,
27,"Mon, Dec 10, 2018",10:30p,,Box Score,,Miami Heat,W,,108,105,17,10,W 2,"18,997",2:08,
28,"Thu, Dec 13, 2018",8:00p,,Box Score,@,Houston Rockets,L,,111,126,17,11,L 1,"18,055",2:21,
29,"Sat, Dec 15, 2018",7:00p,,Box Score,@,Charlotte Hornets,W,,128,100,18,11,W 1,"19,641",2:03,
30,"Sun, Dec 16, 2018",6:00p,,Box Score,@,Washington Wizards,L,,110,128,18,12,L 1,"20,409",2:04,
31,"Tue, Dec 18, 2018",7:30p,,Box Score,@,Brooklyn Nets,L,,110,115,18,13,L 2,"17,732",2:14,
32,"Fri, Dec 21, 2018",10:30p,,Box Score,,New Orleans Pelicans,W,,112,104,19,13,W 1,"18,997",2:20,
33,"Sun, Dec 23, 2018",9:30p,,Box Score,,Memphis Grizzlies,L,,99,107,19,14,L 1,"18,997",2:10,
