,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19780,3491,7425,0.47,847,2541,0.333,2644,4884,0.541,1336,1910,0.699,835,2985,3820,2096,618,440,1284,1701,9165
Team/G,,241.2,42.6,90.5,0.47,10.3,31,0.333,32.2,59.6,0.541,16.3,23.3,0.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8
Lg Rank,,18,6,8,9,20,17,29,3,10,5,24,14,29,15,4,6,11,16,8,29,13,16
Year/Year,,-0.60%,4.60%,2.40%,0.01,3.00%,6.60%,-0.011,5.10%,0.40%,0.024,-2.10%,0.00%,-0.015,-4.70%,2.00%,0.40%,7.50%,-2.40%,13.40%,-0.80%,-2.00%,3.40%
Opponent,82,19780,3438,7610,0.452,971,2784,0.349,2467,4826,0.511,1459,1862,0.784,924,2918,3842,2053,683,421,1167,1706,9306
Opponent/G,,241.2,41.9,92.8,0.452,11.8,34,0.349,30.1,58.9,0.511,17.8,22.7,0.784,11.3,35.6,46.9,25,8.3,5.1,14.2,20.8,113.5
Lg Rank,,18,21,28,9,20,27,13,16,24,10,17,14,28,27,23,26,21,26,20,12,15,21
Year/Year,,-0.60%,2.10%,3.20%,-0.005,13.60%,12.80%,0.002,-1.80%,-1.60%,-0.001,4.10%,1.00%,0.023,10.00%,2.90%,4.50%,6.30%,0.10%,-5.80%,-0.30%,1.60%,3.50%
