No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Brandon Bass,PF,08-Jun,250,30-Apr-85,us US,10,LSU
28,Tarik Black,C,09-Jun,250,22-Nov-91,us US,1,"Memphis, Kansas"
3,Anthony Brown,SF,07-Jun,210,10-Oct-92,us US,R,Stanford
24,Kobe Bryant,SF,06-Jun,212,23-Aug-78,us US,19,
6,Jordan Clarkson,SG,03-Jun,194,07-Jun-92,us US,1,"Tulsa, Missouri"
17,Roy Hibbert,C,02-Jul,270,11-Dec-86,us US,7,Georgetown
9,Marcelo Huertas,PG,03-Jun,200,25-May-83,br BR,R,
4,Ryan Kelly,PF,11-Jun,230,09-Apr-91,us US,2,Duke
7,Larry Nance Jr.,PF,08-Jun,245,01-Jan-93,us US,R,Wyoming
30,Julius Randle,PF,09-Jun,250,29-Nov-94,us US,1,Kentucky
1,D'Angelo Russell,PG,03-Jun,193,23-Feb-96,us US,R,Ohio State
50,Robert Sacre,C,7-0,270,06-Jun-89,us US,3,Gonzaga
23,Lou Williams,SG,02-Jun,175,27-Oct-86,us US,10,
37,Metta World Peace,SF,07-Jun,260,13-Nov-79,us US,15,St. John's
0,Nick Young,SG,07-Jun,210,01-Jun-85,us US,8,USC
