,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19730,2880,6956,0.414,639,2016,0.317,2241,4940,0.454,1583,2028,0.781,878,2645,3523,1478,593,337,1124,1662,7982
Team/G,,240.6,35.1,84.8,0.414,7.8,24.6,0.317,27.3,60.2,0.454,19.3,24.7,0.781,10.7,32.3,43,18,7.2,4.1,13.7,20.3,97.3
Lg Rank,,28,30,14,30,22,13,30,27,17,30,6,8,11,11,24,21,30,23,24,11,13,30
Year/Year,,-1.00%,-5.70%,-0.90%,-0.021,20.10%,30.40%,-0.027,-11.10%,-9.80%,-0.007,10.50%,4.80%,0.04,-7.80%,-0.10%,-2.10%,-13.80%,2.60%,-7.90%,3.50%,-4.50%,-1.10%
Opponent,82,19730,3323,7023,0.473,700,2016,0.347,2623,5007,0.524,1420,1942,0.731,897,2915,3812,2022,617,458,1037,1573,8766
Opponent/G,,240.6,40.5,85.6,0.473,8.5,24.6,0.347,32,61.1,0.524,17.3,23.7,0.731,10.9,35.5,46.5,24.7,7.5,5.6,12.6,19.2,106.9
Lg Rank,,28,28,24,29,15,17,11,30,18,29,13,16,1,20,28,27,30,11,25,28,24,27
Year/Year,,-1.00%,4.50%,3.00%,0.007,0.40%,4.90%,-0.016,5.60%,2.30%,0.017,-10.00%,-8.30%,-0.013,8.90%,4.20%,5.30%,2.80%,1.00%,15.70%,-2.90%,-1.00%,1.50%
