No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
37,Kostas Antetokounmpo,PF,10-Jun,200,20-Nov-97,gr GR,1,Dayton
11,Avery Bradley,SG,03-Jun,180,26-Nov-90,us US,9,Texas
12,Devontae Cacok,C,07-Jun,240,08-Oct-96,us US,R,UNC Wilmington
1,Kentavious Caldwell-Pope,SG,05-Jun,204,18-Feb-93,us US,6,Georgia
4,Alex Caruso,PG,05-Jun,186,28-Feb-94,us US,2,Texas A&M
"2, 28",Quinn Cook,PG,01-Jun,180,23-Mar-93,us US,3,Duke
30,Troy Daniels,SG,04-Jun,200,15-Jul-91,us US,6,VCU
3,Anthony Davis,PF,10-Jun,253,11-Mar-93,us US,7,Kentucky
10,Jared Dudley,PF,06-Jun,237,10-Jul-85,us US,12,Boston College
14,Danny Green,SG,06-Jun,215,22-Jun-87,us US,10,UNC
5,Talen Horton-Tucker,SG,04-Jun,234,25-Nov-00,us US,R,Iowa State
39,Dwight Howard,C,10-Jun,265,08-Dec-85,us US,15,
23,LeBron James,PG,09-Jun,250,30-Dec-84,us US,16,
0,Kyle Kuzma,PF,09-Jun,221,24-Jul-95,us US,2,Utah
7,JaVale McGee,C,7-0,270,19-Jan-88,us US,11,Nevada
88,Markieff Morris,PF,09-Jun,245,02-Sep-89,us US,8,Kansas
21,Zach Norvell,SG,05-Jun,206,09-Dec-97,us US,R,Gonzaga
9,Rajon Rondo,PG,01-Jun,180,22-Feb-86,us US,13,Kentucky
21,J.R. Smith,SG,06-Jun,225,09-Sep-85,us US,15,North Carolina A&T
18,Dion Waiters,SG,03-Jun,215,10-Dec-91,us US,7,Syracuse
