,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,71,17090,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,1260,1728,0.729,757,2490,3247,1803,612,468,1077,1471,8054
Team/G,,240.7,42.3,88.3,0.48,11,31.6,0.349,31.3,56.7,0.552,17.7,24.3,0.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4
Lg Rank,,22,4,20,1,23,23,21,4,9,3,17,8,28,7,13,9,10,5,1,22,14,11
Year/Year,,-0.20%,-0.60%,-2.50%,0.009,6.60%,1.90%,0.015,-2.90%,-4.80%,0.011,8.90%,4.50%,0.03,4.70%,-3.70%,-1.80%,-0.70%,14.40%,22.80%,-3.10%,-0.10%,1.50%
Opponent,71,17090,2773,6187,0.448,827,2373,0.349,1946,3814,0.51,1270,1626,0.781,668,2333,3001,1662,585,263,1130,1544,7643
Opponent/G,,240.7,39.1,87.1,0.448,11.6,33.4,0.349,27.4,53.7,0.51,17.9,22.9,0.781,9.4,32.9,42.3,23.4,8.2,3.7,15.9,21.7,107.6
Lg Rank,,22,5,9,8,9,11,7,7,10,8,15,14,20,7,2,2,7,26,1,5,5,4
Year/Year,,-0.20%,-6.80%,-6.10%,-0.004,-1.60%,-1.60%,0,-8.90%,-8.70%,-0.001,0.50%,0.90%,-0.003,-16.50%,-7.70%,-9.80%,-6.50%,-1.10%,-27.90%,11.80%,4.50%,-5.10%
