G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Tue, Oct 22, 2019",10:30p,,Box Score,@,Los Angeles Clippers,L,,102,112,0,1,L 1,"19,068",2:28,
2,"Fri, Oct 25, 2019",10:30p,,Box Score,,Utah Jazz,W,,95,86,1,1,W 1,"18,997",2:21,
3,"Sun, Oct 27, 2019",9:30p,,Box Score,,Charlotte Hornets,W,,120,101,2,1,W 2,"18,997",2:16,
4,"Tue, Oct 29, 2019",10:30p,,Box Score,,Memphis Grizzlies,W,,120,91,3,1,W 3,"18,997",2:20,
5,"Fri, Nov 1, 2019",9:30p,,Box Score,@,Dallas Mavericks,W,OT,119,110,4,1,W 4,"20,358",2:41,
6,"Sun, Nov 3, 2019",7:00p,,Box Score,@,San Antonio Spurs,W,,103,96,5,1,W 5,"18,610",2:12,
7,"Tue, Nov 5, 2019",8:00p,,Box Score,@,Chicago Bulls,W,,118,112,6,1,W 6,"21,193",2:11,
8,"Fri, Nov 8, 2019",10:30p,,Box Score,,Miami Heat,W,,95,80,7,1,W 7,"18,997",2:14,
9,"Sun, Nov 10, 2019",9:30p,,Box Score,,Toronto Raptors,L,,104,113,7,2,L 1,"18,997",2:19,
10,"Tue, Nov 12, 2019",9:00p,,Box Score,@,Phoenix Suns,W,,123,115,8,2,W 1,"18,055",2:16,
11,"Wed, Nov 13, 2019",10:00p,,Box Score,,Golden State Warriors,W,,120,94,9,2,W 2,"18,997",2:16,
12,"Fri, Nov 15, 2019",10:30p,,Box Score,,Sacramento Kings,W,,99,97,10,2,W 3,"18,997",2:16,
13,"Sun, Nov 17, 2019",9:30p,,Box Score,,Atlanta Hawks,W,,122,101,11,2,W 4,"18,997",2:12,
14,"Tue, Nov 19, 2019",10:30p,,Box Score,,Oklahoma City Thunder,W,,112,107,12,2,W 5,"18,997",2:19,
15,"Fri, Nov 22, 2019",8:00p,,Box Score,@,Oklahoma City Thunder,W,,130,127,13,2,W 6,"18,203",2:24,
16,"Sat, Nov 23, 2019",8:00p,,Box Score,@,Memphis Grizzlies,W,,109,108,14,2,W 7,"17,794",,
17,"Mon, Nov 25, 2019",8:30p,,Box Score,@,San Antonio Spurs,W,,114,104,15,2,W 8,"18,498",2:06,
18,"Wed, Nov 27, 2019",9:30p,,Box Score,@,New Orleans Pelicans,W,,114,110,16,2,W 9,"18,626",2:38,
19,"Fri, Nov 29, 2019",10:30p,,Box Score,,Washington Wizards,W,,125,103,17,2,W 10,"18,997",2:09,
20,"Sun, Dec 1, 2019",4:00p,,Box Score,,Dallas Mavericks,L,,100,114,17,3,L 1,"18,997",2:05,
21,"Tue, Dec 3, 2019",9:00p,,Box Score,@,Denver Nuggets,W,,105,96,18,3,W 1,"19,658",2:17,
22,"Wed, Dec 4, 2019",9:00p,,Box Score,@,Utah Jazz,W,,121,96,19,3,W 2,"18,306",2:11,
23,"Fri, Dec 6, 2019",10:30p,,Box Score,@,Portland Trail Blazers,W,,136,113,20,3,W 3,"19,912",2:26,
24,"Sun, Dec 8, 2019",9:30p,,Box Score,,Minnesota Timberwolves,W,,142,125,21,3,W 4,"18,997",2:13,
25,"Wed, Dec 11, 2019",7:00p,,Box Score,@,Orlando Magic,W,,96,87,22,3,W 5,"18,846",2:12,
26,"Fri, Dec 13, 2019",7:00p,,Box Score,@,Miami Heat,W,,113,110,23,3,W 6,"20,013",2:24,
27,"Sun, Dec 15, 2019",6:00p,,Box Score,@,Atlanta Hawks,W,,101,96,24,3,W 7,"16,962",2:28,
28,"Tue, Dec 17, 2019",7:00p,,Box Score,@,Indiana Pacers,L,,102,105,24,4,L 1,"17,923",2:13,
29,"Thu, Dec 19, 2019",8:00p,,Box Score,@,Milwaukee Bucks,L,,104,111,24,5,L 2,"18,051",2:31,
30,"Sun, Dec 22, 2019",9:30p,,Box Score,,Denver Nuggets,L,,104,128,24,6,L 3,"18,997",2:19,
31,"Wed, Dec 25, 2019",8:00p,,Box Score,,Los Angeles Clippers,L,,106,111,24,7,L 4,"18,997",2:29,
32,"Sat, Dec 28, 2019",10:00p,,Box Score,@,Portland Trail Blazers,W,,128,120,25,7,W 1,"19,960",2:21,
33,"Sun, Dec 29, 2019",9:30p,,Box Score,,Dallas Mavericks,W,,108,95,26,7,W 2,"18,997",2:20,
34,"Wed, Jan 1, 2020",10:30p,,Box Score,,Phoenix Suns,W,,117,107,27,7,W 3,"18,997",2:20,
35,"Fri, Jan 3, 2020",10:30p,,Box Score,,New Orleans Pelicans,W,,123,113,28,7,W 4,"18,997",2:13,
36,"Sun, Jan 5, 2020",10:00p,,Box Score,,Detroit Pistons,W,,106,99,29,7,W 5,"18,997",2:24,
37,"Tue, Jan 7, 2020",10:30p,,Box Score,,New York Knicks,W,,117,87,30,7,W 6,"18,997",2:14,
38,"Fri, Jan 10, 2020",9:45p,,Box Score,@,Dallas Mavericks,W,,129,114,31,7,W 7,"20,542",2:30,
39,"Sat, Jan 11, 2020",8:00p,,Box Score,@,Oklahoma City Thunder,W,,125,110,32,7,W 8,"18,203",2:02,
40,"Mon, Jan 13, 2020",10:30p,,Box Score,,Cleveland Cavaliers,W,,128,99,33,7,W 9,"18,997",2:09,
41,"Wed, Jan 15, 2020",10:30p,,Box Score,,Orlando Magic,L,,118,119,33,8,L 1,"18,997",2:11,
42,"Sat, Jan 18, 2020",8:30p,,Box Score,@,Houston Rockets,W,,124,115,34,8,W 1,"18,502",2:25,
43,"Mon, Jan 20, 2020",7:30p,,Box Score,@,Boston Celtics,L,,107,139,34,9,L 1,"19,156",2:21,
44,"Wed, Jan 22, 2020",7:30p,,Box Score,@,New York Knicks,W,,100,92,35,9,W 1,"19,812",2:15,
45,"Thu, Jan 23, 2020",8:00p,,Box Score,@,Brooklyn Nets,W,,128,113,36,9,W 2,"17,732",2:16,
46,"Sat, Jan 25, 2020",8:30p,,Box Score,@,Philadelphia 76ers,L,,91,108,36,10,L 1,"21,109",2:19,
47,"Fri, Jan 31, 2020",10:30p,,Box Score,,Portland Trail Blazers,L,,119,127,36,11,L 2,"18,997",2:23,
48,"Sat, Feb 1, 2020",10:00p,,Box Score,@,Sacramento Kings,W,,129,113,37,11,W 1,"17,583",2:13,
49,"Tue, Feb 4, 2020",10:00p,,Box Score,,San Antonio Spurs,W,,129,102,38,11,W 2,"18,997",2:06,
50,"Thu, Feb 6, 2020",10:30p,,Box Score,,Houston Rockets,L,,111,121,38,12,L 1,"18,997",2:20,
51,"Sat, Feb 8, 2020",8:30p,,Box Score,@,Golden State Warriors,W,,125,120,39,12,W 1,"18,064",2:33,
52,"Mon, Feb 10, 2020",10:30p,,Box Score,,Phoenix Suns,W,,125,100,40,12,W 2,"18,997",2:16,
53,"Wed, Feb 12, 2020",10:00p,,Box Score,@,Denver Nuggets,W,OT,120,116,41,12,W 3,"19,860",2:41,
54,"Fri, Feb 21, 2020",10:30p,,Box Score,,Memphis Grizzlies,W,,117,105,42,12,W 4,"18,997",2:22,
55,"Sun, Feb 23, 2020",3:30p,,Box Score,,Boston Celtics,W,,114,112,43,12,W 5,"18,997",2:40,
56,"Tue, Feb 25, 2020",10:00p,,Box Score,,New Orleans Pelicans,W,,118,109,44,12,W 6,"18,997",2:25,
57,"Thu, Feb 27, 2020",10:30p,,Box Score,@,Golden State Warriors,W,,116,86,45,12,W 7,"18,064",2:21,
58,"Sat, Feb 29, 2020",8:00p,,Box Score,@,Memphis Grizzlies,L,,88,105,45,13,L 1,"17,794",2:04,
59,"Sun, Mar 1, 2020",8:00p,,Box Score,@,New Orleans Pelicans,W,,122,114,46,13,W 1,"18,547",2:24,
60,"Tue, Mar 3, 2020",10:00p,,Box Score,,Philadelphia 76ers,W,,120,107,47,13,W 2,"18,997",2:16,
61,"Fri, Mar 6, 2020",10:30p,,Box Score,,Milwaukee Bucks,W,,113,103,48,13,W 3,"18,997",2:34,
62,"Sun, Mar 8, 2020",3:30p,,Box Score,@,Los Angeles Clippers,W,,112,103,49,13,W 4,"19,068",2:33,
63,"Tue, Mar 10, 2020",10:30p,,Box Score,,Brooklyn Nets,L,,102,104,49,14,L 1,"18,997",2:15,
64,"Thu, Jul 30, 2020",9:00p,,Box Score,,Los Angeles Clippers,W,,103,101,50,14,W 1,,2:45,
65,"Sat, Aug 1, 2020",8:30p,,Box Score,@,Toronto Raptors,L,,92,107,50,15,L 1,,2:29,
66,"Mon, Aug 3, 2020",9:00p,,Box Score,@,Utah Jazz,W,,116,108,51,15,W 1,,2:33,
67,"Wed, Aug 5, 2020",6:30p,,Box Score,,Oklahoma City Thunder,L,,86,105,51,16,L 1,,2:31,
68,"Thu, Aug 6, 2020",9:00p,,Box Score,@,Houston Rockets,L,,97,113,51,17,L 2,,2:31,
