,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19930,3054,7020,0.435,532,1546,0.344,2522,5474,0.461,1433,1935,0.741,952,2647,3599,1715,578,366,1086,1741,8073
Team/G,,243,37.2,85.6,0.435,6.5,18.9,0.344,30.8,66.8,0.461,17.5,23.6,0.741,11.6,32.3,43.9,20.9,7,4.5,13.2,21.2,98.5
Lg Rank,,3,19,9,25,25,25,17,12,3,27,12,11,23,8,13,12,21,22,22,5,21,19
Year/Year,,1.10%,-2.70%,0.60%,-0.015,-31.30%,-23.90%,-0.037,6.60%,10.60%,-0.017,3.10%,5.40%,-0.017,27.80%,1.00%,7.00%,-14.50%,-5.40%,-17.90%,-12.30%,7.00%,-4.40%
Opponent,82,19930,3180,6817,0.466,697,1921,0.363,2483,4896,0.507,1577,2118,0.745,824,2797,3621,1966,611,396,1068,1589,8634
Opponent/G,,243,38.8,83.1,0.466,8.5,23.4,0.363,30.3,59.7,0.507,19.2,25.8,0.745,10,34.1,44.2,24,7.5,4.8,13,19.4,105.3
Lg Rank,,3,28,13,29,26,23,26,18,8,29,29,29,9,6,27,22,29,10,17,24,23,29
Year/Year,,1.10%,-7.60%,-7.30%,-0.002,4.70%,4.20%,0.001,-10.50%,-11.10%,0.003,11.70%,9.10%,0.017,-22.80%,-5.20%,-9.90%,-6.90%,-22.70%,2.30%,-8.20%,0.60%,-3.60%
