No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
28,Tarik Black,C,09-Jun,250,22-Nov-91,us US,R,"Memphis, Kansas"
12,Vander Blue,SG,04-Jun,200,17-Jul-92,us US,1,Marquette
5,Carlos Boozer,PF,09-Jun,258,20-Nov-81,de DE,12,Duke
15,Jabari Brown,SG,04-Jun,215,18-Dec-92,us US,R,"Oregon, Missouri"
24,Kobe Bryant,SG,06-Jun,212,23-Aug-78,us US,18,
20,Dwight Buycks,PG,03-Jun,190,06-Mar-89,us US,1,Marquette
6,Jordan Clarkson,PG,03-Jun,194,07-Jun-92,us US,R,"Tulsa, Missouri"
21,Ed Davis,PF,09-Jun,218,05-Jun-89,us US,4,UNC
2,Wayne Ellington,SG,04-Jun,207,29-Nov-87,us US,5,UNC
7,Xavier Henry,SF,06-Jun,220,15-Mar-91,be BE,4,Kansas
27,Jordan Hill,C,10-Jun,235,27-Jul-87,us US,5,Arizona
11,Wesley Johnson,SF,07-Jun,215,11-Jul-87,us US,4,"Iowa State, Syracuse"
4,Ryan Kelly,PF,11-Jun,230,09-Apr-91,us US,1,Duke
17,Jeremy Lin,PG,03-Jun,200,23-Aug-88,us US,4,Harvard University
9,Ronnie Price,PG,02-Jun,190,21-Jun-83,us US,9,"Nicholls State, Utah Valley"
30,Julius Randle,PF,09-Jun,250,29-Nov-94,us US,R,Kentucky
50,Robert Sacre,C,7-0,270,06-Jun-89,us US,2,Gonzaga
0,Nick Young,SG,07-Jun,210,01-Jun-85,us US,7,USC
