,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19880,3516,7298,0.482,885,2558,0.346,2631,4740,0.555,1691,2182,0.775,818,2930,3748,2072,526,378,1154,1466,9608
Team/G,,242.4,42.9,89,0.482,10.8,31.2,0.346,32.1,57.8,0.555,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2
Lg Rank,,5,8,13,10,24,26,25,3,8,12,2,1,20,18,2,6,15,26,16,15,1,6
Year/Year,,-0.50%,3.00%,0.30%,0.013,-9.90%,-9.50%,-0.002,8.10%,6.40%,0.009,22.50%,15.80%,0.042,4.60%,3.70%,3.90%,5.30%,-16.00%,-11.10%,-3.10%,-11.40%,4.50%
Opponent,82,19880,3607,7698,0.469,1028,2991,0.344,2579,4707,0.548,1319,1706,0.773,908,2770,3678,2104,624,416,1035,1760,9561
Opponent/G,,242.4,44,93.9,0.469,12.5,36.5,0.344,31.5,57.4,0.548,16.1,20.8,0.773,11.1,33.8,44.9,25.7,7.6,5.1,12.6,21.5,116.6
Lg Rank,,5,29,30,10,20,25,2,28,28,13,1,1,8,25,25,25,15,19,23,27,2,20
Year/Year,,-0.50%,3.30%,3.70%,-0.002,-0.40%,1.90%,-0.008,4.90%,4.90%,0,-7.60%,-10.70%,0.026,0.70%,-5.10%,-3.80%,-2.30%,-8.80%,23.10%,-10.20%,6.90%,1.30%
