No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Mo Bamba,C,7-0,231,12-May-98,us US,4,Texas
5,Malik Beasley,SG,04-Jun,187,26-Nov-96,us US,6,Florida State
21,Patrick Beverley,SG,02-Jun,180,12-Jul-88,us US,10,Arkansas
9,Sterling Brown,SF,05-Jun,219,10-Feb-95,us US,5,SMU
7,Troy Brown Jr.,SF,06-Jun,215,28-Jul-99,us US,4,Oregon
31,Thomas Bryant,C,10-Jun,248,31-Jul-97,us US,5,Indiana
10,Max Christie,SG,06-Jun,190,10-Feb-03,us US,R,Michigan State
3,Anthony Davis,C,10-Jun,253,11-Mar-93,us US,10,Kentucky
35,Wenyen Gabriel,C,09-Jun,205,26-Mar-97,sd SD,3,Kentucky
28,Rui Hachimura,PF,08-Jun,230,08-Feb-98,jp JP,3,Gonzaga
0,Shaquille Harrison,SG,04-Jun,190,06-Oct-93,us US,5,Tulsa
6,LeBron James,PF,09-Jun,250,30-Dec-84,us US,19,
30,Damian Jones,C,11-Jun,245,30-Jun-95,us US,6,Vanderbilt
12,Kendrick Nunn,SG,02-Jun,190,03-Aug-95,us US,2,"Illinois, Oakland"
14,Scotty Pippen Jr.,PG,01-Jun,185,10-Nov-00,us US,R,Vanderbilt
15,Austin Reaves,SG,05-Jun,206,29-May-98,us US,1,"Wichita State, Oklahoma"
11,Davon Reed,SG,05-Jun,208,11-Jun-95,us US,3,Miami (FL)
1,D'Angelo Russell,PG,03-Jun,193,23-Feb-96,us US,7,Ohio State
37,Matt Ryan,SF,06-Jun,215,17-Apr-97,us US,1,"Notre Dame, Vanderbilt, Chattanooga"
17,Dennis Schröder,PG,01-Jun,172,15-Sep-93,de DE,9,
20,Cole Swider,SF,09-Jun,220,08-May-99,us US,R,"Villanova, Syracuse"
9,Tristan Thompson,C,09-Jun,254,13-Mar-91,ca CA,11,Texas
95,Juan Toscano-Anderson,SF,06-Jun,209,10-Apr-93,us US,3,Marquette
2,Jarred Vanderbilt,PF,08-Jun,214,03-Apr-99,us US,4,Kentucky
4,Lonnie Walker IV,SG,04-Jun,204,14-Dec-98,us US,4,Miami (FL)
0,Russell Westbrook,PG,04-Jun,200,12-Nov-88,us US,14,UCLA
