,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19905,3338,7248,0.461,822,2384,0.345,2516,4864,0.517,1364,1910,0.714,876,2927,3803,1949,633,388,1295,1736,8862
Team/G,,242.7,40.7,88.4,0.461,10,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1
Lg Rank,,3,7,2,14,20,15,29,8,8,11,16,8,30,4,2,2,7,13,17,29,24,11
Year/Year,,1.00%,3.50%,1.20%,0.011,12.60%,13.00%,-0.001,0.90%,-3.80%,0.024,-2.40%,3.10%,-0.04,-6.10%,11.00%,6.60%,13.60%,-6.10%,21.30%,4.20%,2.20%,3.30%
Opponent,82,19905,3366,7374,0.456,855,2469,0.346,2511,4905,0.512,1402,1843,0.761,840,2835,3675,1932,682,447,1170,1679,8989
Opponent/G,,242.7,41,89.9,0.456,10.4,30.1,0.346,30.6,59.8,0.512,17.1,22.5,0.761,10.2,34.6,44.8,23.6,8.3,5.5,14.3,20.5,109.6
Lg Rank,,3,24,28,10,14,20,3,26,25,13,20,20,10,23,22,24,16,25,26,16,9,25
Year/Year,,1.00%,-1.10%,4.60%,-0.026,3.00%,10.00%,-0.023,-2.50%,2.00%,-0.024,-6.50%,-6.30%,-0.002,-0.40%,1.20%,0.90%,-8.40%,-2.30%,1.60%,-1.50%,10.50%,-1.60%
