G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
43,"Thu, Jan 12, 2017",8:30p,,Box Score,@,San Antonio Spurs,L,,94,134,15,28,L 2,"18,418",2:13,
44,"Sat, Jan 14, 2017",3:30p,,Box Score,@,Los Angeles Clippers,L,,97,113,15,29,L 3,"19,060",2:06,
45,"Sun, Jan 15, 2017",9:30p,,Box Score,,Detroit Pistons,L,,97,102,15,30,L 4,"18,997",2:14,
46,"Tue, Jan 17, 2017",10:30p,,Box Score,,Denver Nuggets,L,,121,127,15,31,L 5,"18,412",2:14,
47,"Fri, Jan 20, 2017",10:30p,,Box Score,,Indiana Pacers,W,,108,95,16,31,W 1,"18,997",2:15,
48,"Sun, Jan 22, 2017",3:30p,,Box Score,@,Dallas Mavericks,L,,73,122,16,32,L 1,"19,484",2:04,
49,"Wed, Jan 25, 2017",10:30p,,Box Score,@,Portland Trail Blazers,L,,98,105,16,33,L 2,"19,393",2:15,
50,"Thu, Jan 26, 2017",10:30p,,Box Score,@,Utah Jazz,L,,88,96,16,34,L 3,"19,911",2:21,
51,"Tue, Jan 31, 2017",10:30p,,Box Score,,Denver Nuggets,W,,120,116,17,34,W 1,"18,997",2:10,
52,"Thu, Feb 2, 2017",7:00p,,Box Score,@,Washington Wizards,L,,108,116,17,35,L 1,"16,473",2:17,
53,"Fri, Feb 3, 2017",8:00p,,Box Score,@,Boston Celtics,L,,107,113,17,36,L 2,"18,624",2:15,
54,"Mon, Feb 6, 2017",7:00p,,Box Score,@,New York Knicks,W,,121,107,18,36,W 1,"19,812",2:18,
55,"Wed, Feb 8, 2017",7:30p,,Box Score,@,Detroit Pistons,L,,102,121,18,37,L 1,"15,121",2:08,
56,"Fri, Feb 10, 2017",8:00p,,Box Score,@,Milwaukee Bucks,W,,122,114,19,37,W 1,"16,380",2:33,
57,"Tue, Feb 14, 2017",10:30p,,Box Score,,Sacramento Kings,L,,96,97,19,38,L 1,"19,997",2:07,
58,"Wed, Feb 15, 2017",9:00p,,Box Score,@,Phoenix Suns,L,,101,137,19,39,L 2,"18,055",2:09,
59,"Fri, Feb 24, 2017",8:00p,,Box Score,@,Oklahoma City Thunder,L,,93,110,19,40,L 3,"18,203",2:05,
60,"Sun, Feb 26, 2017",3:30p,,Box Score,,San Antonio Spurs,L,,98,119,19,41,L 4,"18,997",2:01,
61,"Tue, Feb 28, 2017",10:30p,,Box Score,,Charlotte Hornets,L,,104,109,19,42,L 5,"18,997",2:10,
62,"Fri, Mar 3, 2017",10:30p,,Box Score,,Boston Celtics,L,,95,115,19,43,L 6,"18,997",2:07,
63,"Sun, Mar 5, 2017",9:30p,,Box Score,,New Orleans Pelicans,L,,97,105,19,44,L 7,"18,997",2:15,
64,"Tue, Mar 7, 2017",8:30p,,Box Score,@,Dallas Mavericks,L,,111,122,19,45,L 8,"20,484",2:08,
65,"Thu, Mar 9, 2017",10:30p,,Box Score,@,Phoenix Suns,W,,122,110,20,45,W 1,"17,552",2:20,
66,"Sun, Mar 12, 2017",9:30p,,Box Score,,Philadelphia 76ers,L,,116,118,20,46,L 1,"18,997",2:27,
67,"Mon, Mar 13, 2017",10:30p,,Box Score,@,Denver Nuggets,L,,101,129,20,47,L 2,"17,344",2:15,
68,"Wed, Mar 15, 2017",8:00p,,Box Score,@,Houston Rockets,L,,100,139,20,48,L 3,"18,055",2:12,
69,"Fri, Mar 17, 2017",10:30p,,Box Score,,Milwaukee Bucks,L,,103,107,20,49,L 4,"18,997",2:31,
70,"Sun, Mar 19, 2017",9:30p,,Box Score,,Cleveland Cavaliers,L,,120,125,20,50,L 5,"18,997",2:12,
71,"Tue, Mar 21, 2017",10:30p,,Box Score,,Los Angeles Clippers,L,,109,133,20,51,L 6,"18,724",2:14,
72,"Fri, Mar 24, 2017",10:30p,,Box Score,,Minnesota Timberwolves,W,OT,130,119,21,51,W 1,"18,997",2:40,
73,"Sun, Mar 26, 2017",9:30p,,Box Score,,Portland Trail Blazers,L,,81,97,21,52,L 1,"18,698",2:01,
74,"Tue, Mar 28, 2017",10:30p,,Box Score,,Washington Wizards,L,,108,119,21,53,L 2,"18,997",2:08,
75,"Thu, Mar 30, 2017",8:00p,,Box Score,@,Minnesota Timberwolves,L,,104,119,21,54,L 3,"18,179",2:17,
76,"Sat, Apr 1, 2017",3:30p,,Box Score,@,Los Angeles Clippers,L,,104,115,21,55,L 4,"19,060",2:21,
77,"Sun, Apr 2, 2017",3:30p,,Box Score,,Memphis Grizzlies,W,,108,103,22,55,W 1,"18,997",2:14,
78,"Wed, Apr 5, 2017",8:30p,,Box Score,@,San Antonio Spurs,W,,102,95,23,55,W 2,"18,418",1:56,
79,"Fri, Apr 7, 2017",10:30p,,Box Score,,Sacramento Kings,W,,98,94,24,55,W 3,"18,997",2:09,
80,"Sun, Apr 9, 2017",9:30p,,Box Score,,Minnesota Timberwolves,W,,110,109,25,55,W 4,"18,997",2:09,
81,"Tue, Apr 11, 2017",10:30p,,Box Score,,New Orleans Pelicans,W,,108,96,26,55,W 5,"18,997",2:03,
82,"Wed, Apr 12, 2017",10:30p,,Box Score,@,Golden State Warriors,L,,94,109,26,56,L 1,"19,596",2:08,
