,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,674,320,1243,1698,8575
Team/G,,240.3,39.3,87.4,0.45,8.9,25.7,0.346,30.4,61.6,0.493,17,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6
Lg Rank,,30,13,6,21,19,19,22,11,7,22,23,17,21,7,26,17,26,5,28,26,22,17
Year/Year,,-0.10%,11.90%,3.00%,0.036,14.20%,4.70%,0.029,11.30%,2.30%,0.04,-11.70%,-8.60%,-0.027,6.30%,-0.30%,1.30%,16.10%,13.70%,-5.00%,10.60%,2.20%,7.40%
Opponent,82,19705,3405,7053,0.483,830,2245,0.37,2575,4808,0.536,1499,1966,0.762,843,2801,3644,2110,698,440,1188,1520,9139
Opponent/G,,240.3,41.5,86,0.483,10.1,27.4,0.37,31.4,58.6,0.536,18.3,24,0.762,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5
Lg Rank,,30,28,17,30,24,19,26,28,12,30,18,19,5,17,23,23,30,25,26,11,28,28
Year/Year,,-0.10%,2.50%,0.40%,0.01,18.60%,11.40%,0.022,-1.80%,-4.00%,0.012,5.60%,1.20%,0.031,-6.00%,-3.90%,-4.40%,4.40%,13.10%,-3.90%,14.60%,-3.40%,4.30%
