No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
28,Tarik Black,C,09-Jun,250,22-Nov-91,us US,2,"Memphis, Kansas"
3,Corey Brewer,SF,09-Jun,186,05-Mar-86,us US,9,Florida
5,José Calderón,PG,03-Jun,200,28-Sep-81,es ES,11,
6,Jordan Clarkson,SG,03-Jun,194,07-Jun-92,us US,2,"Tulsa, Missouri"
9,Luol Deng,SF,09-Jun,237,16-Apr-85,ss SS,12,Duke
11,Tyler Ennis,PG,03-Jun,194,24-Aug-94,ca CA,2,Syracuse
4,Marcelo Huertas,PG,03-Jun,200,25-May-83,br BR,1,
14,Brandon Ingram,SF,08-Jun,190,02-Sep-97,us US,R,Duke
20,Timofey Mozgov,C,01-Jul,275,16-Jul-86,ru RU,6,
7,Larry Nance Jr.,PF,08-Jun,245,01-Jan-93,us US,1,Wyoming
10,David Nwaba,SG,05-Jun,219,14-Jan-93,us US,R,Cal Poly
30,Julius Randle,PF,09-Jun,250,29-Nov-94,us US,2,Kentucky
15,Thomas Robinson,PF,10-Jun,237,17-Mar-91,us US,4,Kansas
1,D'Angelo Russell,PG,03-Jun,193,23-Feb-96,us US,1,Ohio State
23,Lou Williams,SG,02-Jun,175,27-Oct-86,us US,11,
37,Metta World Peace,SF,07-Jun,260,13-Nov-79,us US,16,St. John's
0,Nick Young,SG,07-Jun,210,01-Jun-85,us US,9,USC
40,Ivica Zubac,C,7-0,240,18-Mar-97,ba BA,R,
