Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1,Jordan Clarkson,24,82,19,2397,477,1071,0.445,117,356,0.329,360,715,0.503,0.5,134,168,0.798,49,197,246,213,88,8,164,150,1205,0,
2,Brandon Ingram,19,79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,256,316,166,50,36,116,158,740,0,
3,Julius Randle,22,74,73,2132,377,773,0.488,17,63,0.27,360,710,0.507,0.499,204,282,0.723,150,486,636,264,49,37,173,248,975,3,
4,D'Angelo Russell,20,63,60,1811,351,867,0.405,135,384,0.352,216,483,0.447,0.483,147,188,0.782,31,190,221,303,87,16,176,130,984,0,
5,Nick Young,31,60,60,1556,272,633,0.43,170,421,0.404,102,212,0.481,0.564,77,90,0.856,25,113,138,58,37,14,36,137,791,0,
6,Luol Deng,31,56,49,1486,164,424,0.387,51,165,0.309,113,259,0.436,0.447,46,63,0.73,63,232,295,74,48,20,43,61,425,0,
7,Larry Nance Jr.,24,63,7,1442,190,361,0.526,10,36,0.278,180,325,0.554,0.54,59,80,0.738,120,249,369,96,82,39,56,149,449,0,
8,Lou Williams,30,58,1,1403,326,734,0.444,122,317,0.385,204,417,0.489,0.527,304,344,0.884,14,118,132,183,65,11,120,67,1078,0,6MOY-3
9,Timofey Mozgov,30,54,52,1104,169,328,0.515,0,1,0,169,327,0.517,0.515,63,78,0.808,104,160,264,43,16,31,72,133,401,0,
10,Tarik Black,25,67,16,1091,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,144,199,343,39,29,44,58,173,383,0,
11,Ivica Zubac,19,38,11,609,126,238,0.529,0,3,0,126,235,0.536,0.529,32,49,0.653,41,118,159,30,14,33,30,66,284,0,
12,Thomas Robinson,25,48,1,560,105,196,0.536,0,1,0,105,195,0.538,0.536,31,66,0.47,84,139,223,31,26,9,46,76,241,0,
13,David Nwaba,24,20,2,397,47,81,0.58,1,5,0.2,46,76,0.605,0.586,25,39,0.641,17,46,63,14,13,7,11,36,120,0,
14,Tyler Ennis,22,22,2,392,65,144,0.451,21,54,0.389,44,90,0.489,0.524,19,22,0.864,5,21,26,52,19,2,21,29,170,0,
15,Corey Brewer,30,24,3,358,53,121,0.438,5,24,0.208,48,97,0.495,0.459,18,24,0.75,11,41,52,36,24,8,19,29,129,0,
16,José Calderón,35,24,11,292,32,77,0.416,12,34,0.353,20,43,0.465,0.494,4,4,1,8,34,42,51,7,1,26,22,80,0,
17,Marcelo Huertas,33,23,1,237,25,68,0.368,4,19,0.211,21,49,0.429,0.397,9,17,0.529,2,22,24,52,10,2,19,16,63,0,
18,Metta World Peace,37,25,2,160,19,68,0.279,9,38,0.237,10,30,0.333,0.346,10,16,0.625,5,15,20,11,10,2,7,18,57,0,
,Team Totals,,82,82,19706,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,0.501,1397,1853,0.754,933,2636,3569,1716,674,320,1193,1698,8575,3,
