,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19980,3415,7279,0.469,982,2826,0.347,2433,4453,0.546,1380,1884,0.732,782,2826,3608,1968,626,425,1191,1654,9192
Team/G,,243.7,41.6,88.8,0.469,12,34.5,0.347,29.7,54.3,0.546,16.8,23,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1
Lg Rank,,1,9,10,8,18,17,22,7,10,7,17,9,29,23,12,18,17,11,7,27,21,11
Year/Year,,0.50%,2.50%,3.10%,-0.003,8.30%,10.40%,-0.007,0.30%,-1.00%,0.007,-2.40%,-1.50%,-0.007,-1.20%,-0.30%,-0.50%,-2.60%,-2.20%,-3.30%,-4.50%,5.50%,2.30%
Opponent,82,19980,3491,7424,0.47,1032,2935,0.352,2459,4489,0.548,1428,1911,0.747,902,2920,3822,2154,684,338,1152,1647,9442
Opponent/G,,243.7,42.6,90.5,0.47,12.6,35.8,0.352,30,54.7,0.548,17.4,23.3,0.747,11,35.6,46.6,26.3,8.3,4.1,14,20.1,115.1
Lg Rank,,1,28,26,22,18,19,14,26,24,27,20,26,1,23,26,25,28,27,5,11,9,28
Year/Year,,0.50%,7.10%,4.80%,0.01,10.80%,11.00%,-0.001,5.60%,1.10%,0.024,9.60%,13.80%,-0.028,24.90%,7.20%,10.90%,6.50%,1.30%,-9.20%,-7.60%,-5.50%,7.90%
