G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Tue, Oct 19, 2021",10:00p,,Box Score,,Golden State Warriors,L,,114,121,0,1,L 1,"18,997",2:33,
2,"Fri, Oct 22, 2021",10:00p,,Box Score,,Phoenix Suns,L,,105,115,0,2,L 2,"18,997",2:25,
3,"Sun, Oct 24, 2021",9:30p,,Box Score,,Memphis Grizzlies,W,,121,118,1,2,W 1,"18,997",2:24,
4,"Tue, Oct 26, 2021",8:30p,,Box Score,@,San Antonio Spurs,W,OT,125,121,2,2,W 2,"18,354",2:26,
5,"Wed, Oct 27, 2021",8:00p,,Box Score,@,Oklahoma City Thunder,L,,115,123,2,3,L 1,"15,783",2:25,
6,"Fri, Oct 29, 2021",10:30p,,Box Score,,Cleveland Cavaliers,W,,113,101,3,3,W 1,"18,997",2:09,
7,"Sun, Oct 31, 2021",10:30p,,Box Score,,Houston Rockets,W,,95,85,4,3,W 2,"16,448",2:13,
8,"Tue, Nov 2, 2021",10:30p,,Box Score,,Houston Rockets,W,,119,117,5,3,W 3,"18,997",2:17,
9,"Thu, Nov 4, 2021",10:30p,,Box Score,,Oklahoma City Thunder,L,,104,107,5,4,L 1,"18,997",2:15,
10,"Sat, Nov 6, 2021",10:30p,,Box Score,@,Portland Trail Blazers,L,,90,105,5,5,L 2,"19,393",2:06,
11,"Mon, Nov 8, 2021",10:30p,,Box Score,,Charlotte Hornets,W,OT,126,123,6,5,W 1,"18,997",2:44,
12,"Wed, Nov 10, 2021",10:00p,,Box Score,,Miami Heat,W,OT,120,117,7,5,W 2,"18,997",2:45,
13,"Fri, Nov 12, 2021",10:30p,,Box Score,,Minnesota Timberwolves,L,,83,107,7,6,L 1,"18,997",2:15,
14,"Sun, Nov 14, 2021",3:30p,,Box Score,,San Antonio Spurs,W,,114,106,8,6,W 1,"18,997",2:05,
15,"Mon, Nov 15, 2021",10:30p,,Box Score,,Chicago Bulls,L,,103,121,8,7,L 1,"18,997",2:17,
16,"Wed, Nov 17, 2021",7:30p,,Box Score,@,Milwaukee Bucks,L,,102,109,8,8,L 2,"17,341",2:12,
17,"Fri, Nov 19, 2021",7:30p,,Box Score,@,Boston Celtics,L,,108,130,8,9,L 3,"19,156",2:22,
18,"Sun, Nov 21, 2021",6:00p,,Box Score,@,Detroit Pistons,W,,121,116,9,9,W 1,"15,532",2:34,
19,"Tue, Nov 23, 2021",7:30p,,Box Score,@,New York Knicks,L,,100,106,9,10,L 1,"19,812",2:26,
20,"Wed, Nov 24, 2021",7:00p,,Box Score,@,Indiana Pacers,W,OT,124,116,10,10,W 1,"15,572",2:43,
21,"Fri, Nov 26, 2021",10:30p,,Box Score,,Sacramento Kings,L,3OT,137,141,10,11,L 1,"18,997",3:03,
22,"Sun, Nov 28, 2021",9:30p,,Box Score,,Detroit Pistons,W,,110,106,11,11,W 1,"18,997",2:17,
23,"Tue, Nov 30, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,117,92,12,11,W 2,"12,459",2:11,
24,"Fri, Dec 3, 2021",10:00p,,Box Score,,Los Angeles Clippers,L,,115,119,12,12,L 1,"18,997",2:13,
25,"Tue, Dec 7, 2021",10:00p,,Box Score,,Boston Celtics,W,,117,102,13,12,W 1,"18,997",2:19,
26,"Thu, Dec 9, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,95,108,13,13,L 1,"16,334",2:06,
