G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
27,"Fri, Dec 10, 2021",8:00p,,Box Score,@,Oklahoma City Thunder,W,,116,95,14,13,W 1,"16,523",2:05,
28,"Sun, Dec 12, 2021",9:30p,,Box Score,,Orlando Magic,W,,106,94,15,13,W 2,"18,997",2:11,
29,"Wed, Dec 15, 2021",7:30p,,Box Score,@,Dallas Mavericks,W,OT,107,104,16,13,W 3,"20,270",2:35,
30,"Fri, Dec 17, 2021",10:00p,,Box Score,@,Minnesota Timberwolves,L,,92,110,16,14,L 1,"17,136",2:26,
31,"Sun, Dec 19, 2021",8:00p,,Box Score,@,Chicago Bulls,L,,110,115,16,15,L 2,"21,560",2:19,
32,"Tue, Dec 21, 2021",10:00p,,Box Score,,Phoenix Suns,L,,90,108,16,16,L 3,"18,997",2:17,
33,"Thu, Dec 23, 2021",10:30p,,Box Score,,San Antonio Spurs,L,,110,138,16,17,L 4,"18,997",2:25,
34,"Sat, Dec 25, 2021",8:00p,,Box Score,,Brooklyn Nets,L,,115,122,16,18,L 5,"18,997",2:35,
35,"Tue, Dec 28, 2021",8:00p,,Box Score,@,Houston Rockets,W,,132,123,17,18,W 1,"18,104",2:20,
36,"Wed, Dec 29, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,99,104,17,19,L 1,"17,794",2:19,
37,"Fri, Dec 31, 2021",10:30p,,Box Score,,Portland Trail Blazers,W,,139,106,18,19,W 1,"18,997",2:11,
38,"Sun, Jan 2, 2022",9:30p,,Box Score,,Minnesota Timberwolves,W,,108,103,19,19,W 2,"18,343",2:12,
39,"Tue, Jan 4, 2022",10:30p,,Box Score,,Sacramento Kings,W,,122,114,20,19,W 3,"17,919",2:12,
40,"Fri, Jan 7, 2022",10:00p,,Box Score,,Atlanta Hawks,W,,134,118,21,19,W 4,"18,997",2:20,
41,"Sun, Jan 9, 2022",9:30p,,Box Score,,Memphis Grizzlies,L,,119,127,21,20,L 1,"18,288",2:12,
42,"Wed, Jan 12, 2022",10:00p,,Box Score,@,Sacramento Kings,L,,116,125,21,21,L 2,"12,199",2:13,
43,"Sat, Jan 15, 2022",9:00p,,Box Score,@,Denver Nuggets,L,,96,133,21,22,L 3,"19,520",2:01,
44,"Mon, Jan 17, 2022",10:30p,,Box Score,,Utah Jazz,W,,101,95,22,22,W 1,"17,238",2:24,
45,"Wed, Jan 19, 2022",10:30p,,Box Score,,Indiana Pacers,L,,104,111,22,23,L 1,"17,818",2:13,
46,"Fri, Jan 21, 2022",7:00p,,Box Score,@,Orlando Magic,W,,116,105,23,23,W 1,"18,846",2:20,
47,"Sun, Jan 23, 2022",6:00p,,Box Score,@,Miami Heat,L,,107,113,23,24,L 1,"19,973",2:30,
48,"Tue, Jan 25, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,106,96,24,24,W 1,"18,126",2:12,
49,"Thu, Jan 27, 2022",7:30p,,Box Score,@,Philadelphia 76ers,L,,87,105,24,25,L 1,"20,953",2:11,
50,"Fri, Jan 28, 2022",7:30p,,Box Score,@,Charlotte Hornets,L,,114,117,24,26,L 2,"19,469",2:36,
51,"Sun, Jan 30, 2022",1:00p,,Box Score,@,Atlanta Hawks,L,,121,129,24,27,L 3,"17,391",2:13,
52,"Wed, Feb 2, 2022",10:30p,,Box Score,,Portland Trail Blazers,W,,99,94,25,27,W 1,"17,259",2:19,
53,"Thu, Feb 3, 2022",10:00p,,Box Score,@,Los Angeles Clippers,L,,110,111,25,28,L 1,"19,068",2:21,
54,"Sat, Feb 5, 2022",8:30p,,Box Score,,New York Knicks,W,OT,122,115,26,28,W 1,"18,997",2:49,
55,"Tue, Feb 8, 2022",10:00p,,Box Score,,Milwaukee Bucks,L,,116,131,26,29,L 1,"18,997",2:25,
56,"Wed, Feb 9, 2022",10:00p,,Box Score,@,Portland Trail Blazers,L,,105,107,26,30,L 2,"19,393",2:06,
57,"Sat, Feb 12, 2022",8:30p,,Box Score,@,Golden State Warriors,L,,115,117,26,31,L 3,"18,064",2:31,
58,"Wed, Feb 16, 2022",10:00p,,Box Score,,Utah Jazz,W,,106,101,27,31,W 1,"17,787",2:27,
59,"Fri, Feb 25, 2022",10:00p,,Box Score,,Los Angeles Clippers,L,,102,105,27,32,L 1,"18,997",2:33,
60,"Sun, Feb 27, 2022",10:00p,,Box Score,,New Orleans Pelicans,L,,95,123,27,33,L 2,"17,536",2:16,
61,"Tue, Mar 1, 2022",10:00p,,Box Score,,Dallas Mavericks,L,,104,109,27,34,L 3,"17,857",2:20,
62,"Thu, Mar 3, 2022",10:00p,,Box Score,@,Los Angeles Clippers,L,,111,132,27,35,L 4,"19,068",2:15,
63,"Sat, Mar 5, 2022",8:30p,,Box Score,,Golden State Warriors,W,,124,116,28,35,W 1,"18,997",2:24,
64,"Mon, Mar 7, 2022",8:30p,,Box Score,@,San Antonio Spurs,L,,110,117,28,36,L 1,"18,354",2:16,
65,"Wed, Mar 9, 2022",8:00p,,Box Score,@,Houston Rockets,L,OT,130,139,28,37,L 2,"18,055",2:32,
66,"Fri, Mar 11, 2022",10:30p,,Box Score,,Washington Wizards,W,,122,109,29,37,W 1,"18,997",2:15,
67,"Sun, Mar 13, 2022",9:00p,,Box Score,@,Phoenix Suns,L,,111,140,29,38,L 1,"17,071",2:14,
68,"Mon, Mar 14, 2022",10:30p,,Box Score,,Toronto Raptors,L,,103,114,29,39,L 2,"18,228",2:15,
69,"Wed, Mar 16, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,104,124,29,40,L 3,"17,136",2:21,
70,"Fri, Mar 18, 2022",7:30p,,Box Score,@,Toronto Raptors,W,OT,128,123,30,40,W 1,"19,800",2:26,
71,"Sat, Mar 19, 2022",8:00p,,Box Score,@,Washington Wizards,L,,119,127,30,41,L 1,"20,476",2:13,
72,"Mon, Mar 21, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,W,,131,120,31,41,W 1,"19,432",2:07,
73,"Wed, Mar 23, 2022",10:00p,,Box Score,,Philadelphia 76ers,L,,121,126,31,42,L 1,"18,997",2:20,
74,"Sun, Mar 27, 2022",7:00p,,Box Score,@,New Orleans Pelicans,L,,108,116,31,43,L 2,"18,516",2:10,
75,"Tue, Mar 29, 2022",7:30p,,Box Score,@,Dallas Mavericks,L,,110,128,31,44,L 3,"20,382",2:06,
76,"Thu, Mar 31, 2022",10:00p,,Box Score,@,Utah Jazz,L,,109,122,31,45,L 4,"18,306",2:17,
77,"Fri, Apr 1, 2022",10:30p,,Box Score,,New Orleans Pelicans,L,,111,114,31,46,L 5,"18,997",2:25,
78,"Sun, Apr 3, 2022",3:30p,,Box Score,,Denver Nuggets,L,,118,129,31,47,L 6,"18,997",2:23,
79,"Tue, Apr 5, 2022",10:30p,,Box Score,@,Phoenix Suns,L,,110,121,31,48,L 7,"17,071",2:07,
80,"Thu, Apr 7, 2022",10:00p,,Box Score,@,Golden State Warriors,L,,112,128,31,49,L 8,"18,064",2:20,
81,"Fri, Apr 8, 2022",10:30p,,Box Score,,Oklahoma City Thunder,W,,120,101,32,49,W 1,"18,997",2:08,
82,"Sun, Apr 10, 2022",9:30p,,Box Score,@,Denver Nuggets,W,OT,146,141,33,49,W 2,"19,520",2:49,
