No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Carmelo Anthony,PF,07-Jun,238,29-May-84,us US,18,Syracuse
1,Trevor Ariza,SF,08-Jun,215,30-Jun-85,us US,17,UCLA
4,D.J. Augustin,PG,11-May,183,10-Nov-87,us US,13,Texas
9,Kent Bazemore,SF,04-Jun,195,01-Jul-89,us US,9,Old Dominion
20,Avery Bradley,SG,03-Jun,180,26-Nov-90,us US,11,Texas
38,Chaundee Brown Jr.,SF,05-Jun,215,04-Dec-98,us US,R,"Wake Forest, Michigan"
21,Darren Collison,PG,6-0,175,23-Aug-87,us US,10,UCLA
3,Anthony Davis,C,10-Jun,253,11-Mar-93,us US,9,Kentucky
45,Sekou Doumbouya,PF,08-Jun,230,23-Dec-00,gn GN,2,
2,Wayne Ellington,SG,04-Jun,207,29-Nov-87,us US,12,UNC
35,Wenyen Gabriel,PF,09-Jun,205,26-Mar-97,sd SD,2,Kentucky
5,Talen Horton-Tucker,SG,04-Jun,234,25-Nov-00,us US,2,Iowa State
39,Dwight Howard,C,10-Jun,265,08-Dec-85,us US,17,
30,Jay Huff,C,01-Jul,240,25-Aug-98,us US,R,Virginia
6,LeBron James,C,09-Jun,250,30-Dec-84,us US,18,
14,Stanley Johnson,PF,06-Jun,242,29-May-96,us US,6,Arizona
50,Jemerrio Jones,SF,05-Jun,174,09-Apr-95,us US,1,"Hill College, New Mexico State"
40,Mason Jones,SG,04-Jun,200,21-Jul-98,us US,1,"Connors State College, Arkansas"
10,DeAndre Jordan,C,11-Jun,265,21-Jul-88,us US,13,Texas A&M
37,Mac McClung,SG,02-Jun,185,06-Jan-99,us US,R,"Georgetown, Texas Tech"
11,Malik Monk,SG,03-Jun,200,04-Feb-98,us US,4,Kentucky
15,Austin Reaves,SG,05-Jun,206,29-May-98,us US,R,"Wichita State, Oklahoma"
4,Rajon Rondo,PG,01-Jun,180,22-Feb-86,us US,15,Kentucky
31,Isaiah Thomas,PG,09-May,185,07-Feb-89,us US,10,Washington
0,Russell Westbrook,PG,04-Jun,200,12-Nov-88,us US,13,UCLA
