No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Max Christie,SG,06-Jun,190,10-Feb-03,us US,2,Michigan State
3,Anthony Davis,C,10-Jun,253,11-Mar-93,us US,12,Kentucky
77,Luka Dončić,PG,06-Jun,230,28-Feb-99,si SI,6,
17,Dorian Finney-Smith,PF,07-Jun,220,04-May-93,us US,8,Florida
30,Jordan Goodwin,PG,03-Jun,200,23-Oct-98,us US,3,Saint Louis
28,Rui Hachimura,PF,08-Jun,230,08-Feb-98,jp JP,5,Gonzaga
11,Jaxson Hayes,C,7-0,220,23-May-00,us US,5,Texas
0,Jalen Hood-Schifino,SG,06-Jun,215,19-Jun-03,us US,1,Indiana
9,Bronny James,SG,02-Jun,210,06-Oct-04,us US,R,USC
23,LeBron James,SF,09-Jun,250,30-Dec-84,us US,21,
55,Trey Jemison,C,11-Jun,260,28-Nov-99,us US,1,"Clemson, UAB"
14,Maxi Kleber,PF,10-Jun,240,29-Jan-92,de DE,7,
4,Dalton Knecht,SF,06-Jun,215,19-Apr-01,us US,R,"Northeastern Junior College, University of Northern Colorado, Tennessee"
10,Christian Koloko,C,01-Jul,230,20-Jun-00,cm CM,1,Arizona
27,Alex Len,C,7-0,250,16-Jun-93,ua UA,11,Maryland
20,Maxwell Lewis,SF,07-Jun,195,27-Jul-02,us US,1,Pepperdine
20,Shake Milton,SG,05-Jun,205,26-Sep-96,us US,6,SMU
88,Markieff Morris,PF,09-Jun,245,02-Sep-89,us US,13,Kansas
41,Quincy Olivari,PG,03-Jun,198,27-May-01,us US,R,"Rice University, Xavier"
15,Austin Reaves,SG,05-Jun,206,29-May-98,us US,3,"Wichita State, Oklahoma"
5,Cam Reddish,SF,08-Jun,218,01-Sep-99,us US,5,Duke
1,D'Angelo Russell,PG,03-Jun,193,23-Feb-96,us US,9,Ohio State
94,Armel Traoré,SF,08-Jun,215,23-Jan-03,fr FR,R,
2,Jarred Vanderbilt,PF,08-Jun,214,03-Apr-99,us US,6,Kentucky
7,Gabe Vincent,PG,03-Jun,195,14-Jun-96,us US,5,UC Santa Barbara
